#,Date,Location,Vehicles,Drunken persons,Fatalites,Persons,Pedestrians
1,"Feb 20, 2014 10:07 PM",I-75,1,1,2,3,-
2,"Mar 9, 2014 05:16 PM",I-275,1,1,1,4,-
3,"Jan 16, 2014 03:05 PM",Vine St,1,-,1,3,2
4,"Mar 24, 2014 02:38 AM",2031 Harrison Ave,1,1,1,1,-
5,"Apr 3, 2014 02:31 AM",Columbia Parkway,1,1,1,1,-
6,"Apr 12, 2014 12:35 AM",I-74,2,-,1,5,-
7,"Apr 24, 2014 03:45 PM",Reading Rd.,2,-,1,2,-
8,"Mar 10, 2014 03:35 PM","Ridge Ave, Brotherton Rd",1,-,1,1,1
9,"Mar 25, 2014 03:39 PM",Martin Luther King Dr,3,1,1,3,-
10,"May 30, 2014 11:07 AM",Werk Rd.,1,-,1,1,1
11,"May 31, 2014 09:42 PM",Us-127 Clay Wade Bailey Hwy,2,1,1,5,-
12,"Jun 29, 2014 02:22 AM","Reading Rd., Seymour Ave",2,1,1,2,-
13,"May 30, 2014 11:45 AM",Pete Rose Way E,1,-,1,1,1
14,"Jun 27, 2014 03:28 PM",Ridge Ave,2,-,1,2,-
15,"Sep 25, 2014 12:51 AM",Vine St,2,-,1,2,-
16,"Sep 26, 2014 03:22 PM",I-75,2,-,1,3,-
17,"Oct 24, 2014 08:00 AM","Warsaw Ave, Woodlawn Ave",1,-,1,1,1
18,"Oct 3, 2014 07:00 AM","W North Bend Rd, Argus Rd",1,-,1,2,1
19,"Nov 11, 2014 09:05 PM",I-75,1,1,1,1,-
20,"Dec 7, 2014 12:55 AM","Westwood Northern Blvd, Mchenry Ave",2,-,1,4,-
21,"Dec 22, 2014 11:53 PM",8th St.,2,-,1,1,1
22,"Feb 13, 2013 02:15 PM",Hopple St,2,1,1,2,-
23,"Feb 24, 2013 02:04 AM",I-71,1,1,1,4,1
24,"Jun 23, 2013 07:08 PM",I-71,1,1,1,1,-
25,"Feb 17, 2013 07:45 AM",W Fork Rd,1,-,1,1,-
26,"May 24, 2013 08:00 PM",Hamilton Ave,1,-,1,1,1
27,"May 31, 2013 05:54 PM",I-471,1,1,1,1,-
28,"Jun 20, 2013 03:52 PM",Mt Adams Dr,1,-,1,2,-
