Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Latitude,Longitude,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1434219940,CWY5549,NY,PAS,01/01/2018,71,SDN,HYUND,P,19210,10110,10010,20180804,23.0,23,822,956127,0822,0000,0240A,0235A,NY,F,325,E 112TH ST,,40.79434070000001,-73.9385305,0,408,D4,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1434219963,HCR6106,NY,PAS,01/01/2018,71,VAN,HONDA,P,18970,10010,20490,20191124,23.0,23,822,956127,0822,0000,0724P,1915P,NY,F,410,E 100TH ST,,40.7851753,-73.9424573,0,408,J6,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1434219951,GZX6116,NY,PAS,01/01/2018,71,SDN,ME/BE,P,10010,19210,19230,20190922,23.0,23,822,956127,0822,0000,0248A,0245A,,F,2175,1ST AVE,,40.7939292,-73.9373292,0,408,J6,,BBBBBBB,ALL,ALL,BLK,0.0,2012,-,0,,,,,
1429186926,HSH4411,NY,PAS,01/01/2018,98,SDN,NISSA,P,35380,14780,14830,20190824,61.0,61,61,942166,0061,0000,0750A,,K,F,2419,E 13,,40.5914596,-73.9566699,0,408,I3,,BBBBBBB,ALL,ALL,BLACK,0.0,2012,-,0,,,,,
1434582802,53216ME,NY,COM,01/01/2018,78,VAN,DODGE,S,5430,43130,5080,20191130,78.0,78,0,686320,KS14,0000,0208A,,,F,282,4TH AVE,,42.7224918,-73.6907081,0,408,K6,,BBBBBBB,ALL,ALL,WHITE,0.0,2016,-,0,,,,,
1434582796,581012,MA,COM,01/01/2018,78,VAN,DODGE,S,5430,5080,5230,0,70.0,70,0,686370,KS14,0000,0203A,,,O,283,4TH AVE,,37.7833757,-122.462536,0,408,K6,,BBBBBBB,ALL,ALL,WHITE,0.0,0,-,0,,,,,
1434582784,88175MK,NY,COM,01/01/2018,78,VAN,FORD,S,5430,5080,5230,20191130,78.0,78,0,686320,KS14,0000,0201A,,K,F,283,4TH AVENUE,,37.7833757,-122.462536,0,408,D1,,BBBBBBB,ALL,ALL,WHITE,0.0,2017,-,0,,,,,
1434582772,85353JX,NY,COM,01/01/2018,78,VAN,FORD,S,5430,6530,6630,20190827,78.0,78,0,686320,KS25,0000,0150A,,,F,546,4TH AVE,,40.667,-73.99193799999999,0,408,D1,,BBBBBBB,ALL,ALL,WHT,0.0,1999,-,0,,,,,
1358643453,BLANKPLATE,99,999,01/01/2018,74,SDN,HONDA,P,0,0,0,0,47.0,47,0,957487,PSA8,0000,1100P,1055P,BX,F,,F/O 1961 SCHIEFFELIN,,40.8859189,-73.8424127,20180101,408,K6,,BBBBBBB,ALL,ALL,LGHTB,0.0,0,-,0,,,,,
1434199708,P78DKJ,NJ,PAS,01/01/2018,19,SDN,HONDA,P,10810,36730,36750,0,32.0,32,0,962207,PSA1,0000,1010A,0930A,NY,F,2790,8TH AVE,,26.2153213,-81.55066550000001,0,408,C3,,BBBBBBB,ALL,ALL,ORG,0.0,0,-,0,,,,,
1434199691,D88HKM,NJ,PAS,01/01/2018,19,SDN,NISSA,P,10810,36730,36750,0,32.0,32,0,962207,PSA6,0000,1006A,0900A,NY,F,2790,8TH AVE,,26.2153213,-81.55066550000001,20180101,408,C3,,BBBBBBB,ALL,ALL,BLU,0.0,0,-,0,,,,,
1435612000,55342MJ,NY,COM,01/01/2018,20,SDN,SMART,P,28870,27100,45440,20180831,1.0,1,0,358945,SICA,0000,1001A,,NY,O,20,PINE ST,,40.7075665,-74.00967659999999,0,408,C,,BBBBBBB,ALL,ALL,GRAY,0.0,2013,-,0,,,,,
